日期,天气状况,气温,风力风向
2019年01月01日,阴/多云,4/2,北风1-2级/北风1-2级
2019年01月02日,阴/阴,4/1,无持续风向1-2级/无持续风向1-2级
2019年01月03日,阴/小雨,8/2,无持续风向1-2级/无持续风向1-2级
2019年01月04日,中雨/小雨,7/4,北风1-2级/北风1-2级
2019年01月05日,小雨/小雨,7/5,西北风3-4级/西北风3-4级
2019年01月06日,多云/多云,8/3,北风1-2级/北风1-2级
2019年01月07日,小雨/阵雨,7/6,东北风1-2级/东北风1-2级
2019年01月08日,阴/阵雨,7/5,北风3-4级/北风3-4级
2019年01月09日,小雨/中雨,5/3,东北风1-2级/东北风1-2级
2019年01月10日,小雨/小雨,7/5,无持续风向1-2级/无持续风向1-2级
2019年01月11日,小雨/小雨,7/5,无持续风向1-2级/无持续风向1-2级
2019年01月12日,阴/多云,8/1,北风3-4级/北风3-4级
2019年01月13日,多云/晴,8/2,北风1-2级/北风1-2级
2019年01月14日,小雨/小雨,8/5,无持续风向1-2级/无持续风向1-2级
2019年01月15日,小雨/阵雨,6/1,北风3-4级/北风3-4级
2019年01月16日,多云/多云,4/1,无持续风向1-2级/无持续风向1-2级
2019年01月17日,晴/晴,8/1,西南风1-2级/西南风1-2级
2019年01月18日,晴/晴,12/1,东北风1-2级/东北风1-2级
2019年01月19日,多云/阴,12/5,无持续风向1-2级/无持续风向1-2级
2019年01月20日,晴/晴,9/1,无持续风向1-2级/无持续风向1-2级
2019年01月21日,多云/晴,8/0,东北风1-2级/东北风1-2级
2019年01月22日,晴/晴,12/0,西南风3-4级/西南风3-4级
2019年01月23日,晴/晴,12/2,无持续风向1-2级/无持续风向1-2级
2019年01月24日,晴/晴,13/1,东北风1-2级/东北风1-2级
2019年01月25日,多云/多云,11/2,无持续风向1-2级/无持续风向1-2级
2019年01月26日,多云/晴,5/0,无持续风向1-2级/无持续风向1-2级
2019年01月27日,晴/多云,11/1,无持续风向1-2级/无持续风向1-2级
2019年01月28日,阴/阴,11/4,无持续风向1-2级/无持续风向1-2级
2019年01月29日,阴/多云,10/5,东北风1-2级/东北风1-2级
2019年01月30日,多云/小雨,17/5,无持续风向1-2级/无持续风向1-2级
2019年01月31日,小雨/多云,7/1,西南风1-2级/西南风1-2级
