weatsvd1,weatsvd2,day
0.02350680034714244,0.21611983286372366,1
1.0518250245029102,-0.17832937764775822,2
0.9822017466330439,-0.1539377736019934,3
0.01968351633973048,0.06560596103653597,4
0.24471061052403345,-0.11063202201689841,5
0.16043562329215474,0.017584981556641573,6
0.050402229339037055,0.8531592213566311,7
0.0006887380116050807,0.062079763861843565,8
0.05013580289495222,0.8287068758165874,9
1.150741516481823,-0.2327364785846151,10
1.150741516481823,-0.2327364785846151,11
0.005691281667348502,0.21301791089743596,12
0.09374033882221078,0.18034077037365534,13
1.150741516481823,-0.2327364785846151,14
0.004025004350357743,0.17877349445735127,15
1.0631974884789157,-0.17554301878995818,16
0.2080657855455345,0.6854816721083096,17
0.241255916159483,1.3189310715906386,18
0.9822017466358773,-0.1539377763754747,19
1.1154560750373592,0.4545192663110463,20
0.12230204513109609,0.8516245753066476,21
0.20708952575768308,0.6706254481828436,22
1.1154560750373592,0.4545192663110463,23
0.241255916159483,1.3189310715906386,24
1.0631974884789157,-0.17554301878995818,25
0.9965022040089722,-0.0127872299729444,26
0.9822017466313192,-0.15393777579772067,27
1.0518250245029102,-0.17832937764775822,28
0.05206850665602781,0.8874036377967158,29
0.9822017466278506,-0.15393777135202513,30
0.014748723520048674,0.10861529442595447,31
